   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/03/13
  -7.44211  -7.44289  -7.44701  -7.44637  -7.43554  -7.42545  -7.41972  -7.41434
  -7.47549  -7.47549  -7.47548  -7.47548  -7.47556  -7.47531  -7.47543  -7.47652
  -7.47158  -7.46398  -7.46411  -7.46878  -7.47302  -7.47464  -7.47471  -7.47150
  -7.46746  -7.47088  -7.47783  -7.47869  -7.46755  -7.45729  -7.45263  -7.44955
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 3   / DATE= 18/03/13
 -61.19946 -60.98098 -60.77567 -60.58303 -60.40399 -60.23666 -60.07223 -59.90388
 -59.72873 -59.54701 -59.35210 -59.13686 -58.89568 -58.61988 -58.30711 -57.95754
 -57.56156 -57.12171 -56.65015 -56.16138 -55.68538 -55.26564 -54.94599 -54.72869
 -42.51360 -42.29071 -42.08551 -41.89622 -41.72175 -41.55933 -41.40206 -41.24458
 -41.08363 -40.91731 -40.74107 -40.54924 -40.33606 -40.09623 -39.82566 -39.52014
 -39.17308 -38.78401 -38.35808 -37.90459 -37.44972 -37.03445 -36.70295 -36.46873
 -31.31085 -31.08354 -30.87845 -30.69248 -30.52257 -30.36503 -30.21490 -30.06826
 -29.92149 -29.77055 -29.61294 -29.44449 -29.25925 -29.05533 -28.82687 -28.56539
 -28.26722 -27.92891 -27.54864 -27.13049 -26.69686 -26.28615 -25.94290 -25.69180
 -24.48313 -24.25099 -24.04419 -23.85932 -23.69262 -23.53971 -23.39506 -23.25670
 -23.12191 -22.98427 -22.84253 -22.69403 -22.53320 -22.35919 -22.16672 -21.94701
