   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -11.82711 -11.82162 -11.81071 -11.78981 -11.75305 -11.69449 -11.61368 -11.52587
 -11.45596 -11.42309 -11.42888 -11.46358 -11.51521 -11.57431 -11.63505 -11.69433
 -11.75017 -11.80163 -11.85260 -11.90493 -11.95438 -11.99187 -12.01777 -12.02600
 -12.00833 -12.00252 -11.99107 -11.96912 -11.93013 -11.86789 -11.78234 -11.68690
 -11.60747 -11.56757 -11.57058 -11.60677 -11.66443 -11.73283 -11.80234 -11.86952
 -11.93252 -11.98994 -12.04639 -12.10423 -12.15928 -12.20230 -12.23611 -12.25729
 -12.20203 -12.19679 -12.18641 -12.16640 -12.13052 -12.07223 -11.98955 -11.89349
 -11.80928 -11.76195 -11.75937 -11.79509 -11.85464 -11.92584 -11.99997 -12.07057
 -12.13501 -12.19361 -12.25024 -12.30726 -12.36204 -12.40616 -12.44446 -12.47524
 -12.39849 -12.39436 -12.38612 -12.37006 -12.34088 -12.29235 -12.22034 -12.13169
 -12.04787 -11.99511 -11.98761 -12.01866 -12.07500 -12.14581 -12.21797 -12.28519
 -12.34623 -12.40139 -12.45273 -12.50295 -12.55208 -12.59299 -12.63276 -12.67030
 -12.58840 -12.58555 -12.57987 -12.56866 -12.54773 -12.51161 -12.45586 -12.38264
 -12.30717 -12.25507 -12.24255 -12.26775 -12.31846 -12.38140 -12.44555 -12.50475
 -12.55713 -12.60408 -12.64601 -12.68520 -12.72401 -12.75783 -12.79588 -12.83784
 -12.77149 -12.76972 -12.76617 -12.75910 -12.74576 -12.72191 -12.68306 -12.62978
 -12.57093 -12.52572 -12.51178 -12.53078 -12.57202 -12.62292 -12.67320 -12.71992
 -12.76227 -12.79836 -12.82875 -12.85650 -12.88474 -12.91018 -12.94325 -12.98566
 -12.95597 -12.95494 -12.95286 -12.94870 -12.94072 -12.92619 -12.90180 -12.86639
 -12.82498 -12.79109 -12.77913 -12.79206 -12.82191 -12.85983 -12.89635 -12.92970
 -12.96058 -12.98674 -13.00788 -13.02603 -13.04401 -13.06200 -13.09030 -13.12927
 -13.13644 -13.13586 -13.13471 -13.13241 -13.12792 -13.11964 -13.10545 -13.08403
 -13.05797 -13.03621 -13.02808 -13.03630 -13.05631 -13.08138 -13.10612 -13.12956
 -13.15164 -13.17081 -13.18523 -13.19633 -13.20777 -13.21972 -13.24222 -13.27588
 -13.31156 -13.31125 -13.31064 -13.30942 -13.30704 -13.30257 -13.29488 -13.28304
 -13.26805 -13.25530 -13.25083 -13.25622 -13.26826 -13.28303 -13.29879 -13.31543
 -13.33226 -13.34682 -13.35692 -13.36377 -13.37091 -13.37817 -13.39563 -13.42405
 -13.48032 -13.48016 -13.47985 -13.47922 -13.47799 -13.47567 -13.47161 -13.46529
 -13.45726 -13.45035 -13.44765 -13.45076 -13.45814 -13.46733 -13.47749 -13.48908
 -13.50178 -13.51335 -13.52121 -13.52578 -13.52993 -13.53397 -13.54742 -13.57014
 -13.63999 -13.63991 -13.63975 -13.63944 -13.63882 -13.63766 -13.63560 -13.63238
 -13.62828 -13.62463 -13.62305 -13.62440 -13.62815 -13.63357 -13.64032 -13.64871
 -13.65905 -13.67033 -13.67686 -13.67893 -13.68244 -13.68523 -13.69546 -13.71321
 -13.79584 -13.79580 -13.79573 -13.79557 -13.79526 -13.79468 -13.79366 -13.79205
 -13.78995 -13.78811 -13.78737 -13.78777 -13.78986 -13.79395 -13.79890 -13.80475
 -13.81202 -13.82048 -13.82759 -13.83176 -13.83327 -13.83308 -13.84102 -13.85559
 -13.93330 -13.93328 -13.93325 -13.93317 -13.93302 -13.93275 -13.93225 -13.93147
 -13.93045 -13.92953 -13.92913 -13.92953 -13.93030 -13.93132 -13.93394 -13.93835
 -13.94476 -13.95337 -13.95984 -13.96234 -13.96308 -13.96349 -13.97104 -13.98207
 -14.18405 -14.18404 -14.18401 -14.18397 -14.18387 -14.18369 -14.18337 -14.18287
 -14.18221 -14.18159 -14.18130 -14.18158 -14.18203 -14.18263 -14.18487 -14.18899
 -14.19518 -14.20363 -14.20992 -14.21222 -14.21278 -14.21300 -14.22026 -14.23068
 -14.43621 -14.43620 -14.43619 -14.43616 -14.43609 -14.43597 -14.43576 -14.43542
